"","Localidad","year","empresas","telefonos","bancos","ind_turismo"
"82","ARANJUEZ",1975,3,42.6719147950915,3,-5.2
"83","ARANJUEZ",1977,-2,14.2161635832522,1,3.5
"84","ARANJUEZ",1979,2,16.6382495026996,1,-4.3
"85","ARANJUEZ",1981,-3,45.1090266780363,0,1.4
"86","ARANJUEZ",1983,12,4.49126930826058,2,-5.2
"87","ARANJUEZ",1985,-1,7.27082831204306,2,-2.1
"88","ARANJUEZ",1987,4,4.63600958657879,0,1.7
"89","ARANJUEZ",1989,12,2.7342352014888,0,3.5
"90","ARANJUEZ",1991,0,-0.815160593604125,0,-2
"92","ARENYS DE MAR",1965,1,15.875,1,-28.1
"93","ARENYS DE MAR",1967,1,53.1823085221143,0,-22.4
"94","ARENYS DE MAR",1969,-2,11.7605633802817,0,4.89999999999999
"95","ARENYS DE MAR",1971,0,18.5255198487713,0,-4.19999999999999
"96","ARENYS DE MAR",1973,0,48.3253588516746,1,-10.3
"97","ARENYS DE MAR",1975,0,5.19713261648746,1,-18.1
"98","ARENYS DE MAR",1977,2,5.62180579216354,2,-7.8
"99","ARENYS DE MAR",1979,0,15.0322580645161,2,0.299999999999997
"100","ARENYS DE MAR",1981,-2,20.6393718452047,0,-16.5
"101","ARENYS DE MAR",1983,2,7.85681078568108,0,12.8
"102","ARENYS DE MAR",1985,3,6.44396551724138,0,-12.7
"103","ARENYS DE MAR",1987,3,6.13484511034622,0,-1.3
"104","ARENYS DE MAR",1989,7,5.95192674551698,0,9.7
"105","ARENYS DE MAR",1991,-3,1.22434281598848,0,-16
"107","ARGENTONA",1965,-1,26.7692307692308,0,-6.9
"108","ARGENTONA",1967,1,29.8543689320388,0,-7.3
"109","ARGENTONA",1969,-1,17.9439252336449,0,0.199999999999999
"110","ARGENTONA",1971,0,20.4437400950872,0,-2.5
"111","ARGENTONA",1973,0,58.9473684210526,1,-1.4
"112","ARGENTONA",1975,2,25,1,-0.299999999999999
"113","ARGENTONA",1977,-2,20.3311258278146,1,-3.1
"114","ARGENTONA",1979,5,17.2812328013209,0,0.5
"115","ARGENTONA",1981,-3,22.4777099953074,1,-0.4
"116","ARGENTONA",1983,0,19.2337164750958,0,-0.6
"117","ARGENTONA",1985,5,9.19023136246787,0,-0.7
"118","ARGENTONA",1987,-2,2.47204237786934,0,-0.4
"119","ARGENTONA",1989,2,5.62894887995405,0,1.9
"120","ARGENTONA",1991,1,1.54975530179445,0,-7
"122","AZPEITIA",1965,0,72.7386934673367,0,-8.4
"123","AZPEITIA",1967,1,13.6727272727273,0,-11.7
"124","AZPEITIA",1969,-1,13.2437619961612,0,-3.3
"125","AZPEITIA",1971,2,23.1073446327684,0,-0.199999999999999
"126","AZPEITIA",1973,-1,51.7209729233593,0,-1.7
"127","AZPEITIA",1975,2,30.2480338777979,1,-2.2
"128","AZPEITIA",1977,2,13.934045517882,0,-0.199999999999999
"129","AZPEITIA",1979,-1,-10.6400326131268,1,-1.2
"130","AZPEITIA",1981,0,18.5903284671533,0,-1.1
"131","AZPEITIA",1983,4,-7.34756683977688,0,-0.899999999999999
"132","AZPEITIA",1985,5,5.39755034253685,0,0.2
"133","AZPEITIA",1987,1,-6.34232814654323,0,0.6
"134","AZPEITIA",1989,8,5.04731861198738,1,-0.5
"135","AZPEITIA",1991,-11,3.48348348348348,1,0
"137","BADALONA",1965,-3,41.1213684496335,-1,-12.3
"138","BADALONA",1967,-1,17.8066378066378,1,1.2
"139","BADALONA",1969,3,24.7836028090805,3,-11.9
"140","BADALONA",1971,3,34.0619069432629,0,-8
"141","BADALONA",1973,-5,50.9518695694621,9,0.800000000000001
"142","BADALONA",1975,4,50.2004915276161,13,-2.9
"143","BADALONA",1977,10,17.4108680675164,9,1.6
"144","BADALONA",1979,10,40.2035390116439,8,1.3
"145","BADALONA",1981,-17,13.8595343970704,5,3.6
"146","BADALONA",1983,22,-1.09813110950297,2,-4
"147","BADALONA",1985,46,-0.598134748725334,0,-1.8
"148","BADALONA",1987,17,-0.325987895216507,0,-1.4
"149","BADALONA",1989,35,3.50733234083956,-1,-0.5
"150","BADALONA",1991,-9,0.310309290025935,-1,0
"152","BARCELONA",1965,39,14.6022236072297,12,-293.7
"153","BARCELONA",1967,12,12.2461590041675,20,-857.6
"154","BARCELONA",1969,1,15.467584046346,20,-817.799999999999
"155","BARCELONA",1971,35,13.2333301248887,13,-962.3
"156","BARCELONA",1973,-136,17.7630023562163,60,-233.4
"157","BARCELONA",1975,221,15.8483713795904,139,1015.9
