;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
245.;MORA VICENS SL;B07018138;SOLLER;ESPANA;U1;31/12/2021;6.090
246.;BODEGA VIRGEN DE LA VEGA S.COOP;F26008698;HARO;ESPANA;U1;30/09/2016;5.987
247.;PORTANIA SA;A43010586;REUS;ESPANA;U1;31/12/2001;5.946
248.;TECNICA RIEGOS Y FERTILIZANTES SA;A11603933;JEREZ DE LA FRONTERA;ESPANA;U1;31/12/2020;5.877
249.;PROMOCION DE ESCUELAS, SL;B08197618;MATADEPERA;ESPANA;U1;31/08/2021;5.824
250.;COMPAÑIA IMPORTADORA DE AUTOMOVILES Y ACCESORIOS DE MELILLA SA;A29901386;MELILLA;ESPANA;U1;31/12/2021;5.768
251.;CST-NAVARRA ASISTENCIA VEHICULOS INDUSTRIALES SLL;B31023492;BERIAIN;ESPANA;U1;31/12/2021;5.635
252.;COOP DE CAMIONES BASCULANTES CODEBAS;F15080377;A CORUÑA;ESPANA;U1;31/12/2021;5.530
253.;MATERIALES Y PROTECCION ELECTRICA SA;A25007493;LLEIDA;ESPANA;U1;31/12/2021;5.522
254.;COMPAÑIA GENERAL DE ARIDOS Y SUMINISTROS SL (EXTINGUIDA);B08190902;TERRASSA;ESPANA;U1;31/12/2013;5.507
255.;COOP DEL CAMPO INDUSTRIAL DE LOS GUADALPERALES;F06005086;ACEDERA;ESPANA;U1;31/12/2020;5.507
256.;MECANICA EGARENSE SA;A08204851;TERRASSA;ESPANA;U1;31/12/2020;5.468
257.;FERMIN PUIGDELLIVOL SL;B08202194;SANT FRUITOS DE BAGES;ESPANA;U1;31/12/2020;5.447
258.;ENRIQUE BERNAT F SL (EXTINGUIDA);B08189219;CORNELLA DE LLOBREGAT;ESPANA;U1;31/12/2003;5.446
259.;CAJA RURAL REGIONAL SAN AGUSTIN DE FUENTEALAMO MURCIA SOCIEDAD COOPERATIVA DE CREDITO;F30603476;FUENTE ALAMO DE MURCIA;ESPANA;U1;31/12/2021;5.418
260.;BOADAS EMBUTIDOS Y CONSERVAS SL (EN LIQUIDACION);B17011180;PALOL DE REVARDIT;ESPANA;U1;31/12/2016;5.388
261.;ESTEVE AGUILERA SA  (EXTINGUIDA);A08200040;IGUALADA;ESPANA;U1;30/09/2016;5.374
262.;INMOBILIARIA REPOS SA;A08196446;LLORET DE MAR;ESPANA;U1;31/12/2021;5.296
263.;LACROIX CITY NORTE SOCIEDAD ANONIMA.;A48042303;ZAMUDIO;ESPANA;U1;31/12/2021;5.239
264.;ABREGO SL;B13003546;MANZANARES;ESPANA;U1;31/12/2009;5.196
265.;VIGUETAS LANZAROTE SOCIEDAD LIMITADA;B35006360;ARRECIFE;ESPANA;U1;31/12/2021;5.174
266.;S.C. ANDALUZA AGRARIA JESUS DEL GRAN PODER;F23007537;NOALEJO;ESPANA;U1;31/12/2017;5.029
267.;LOS ALTOS DE LOS MONTEROS SA;A29007051;MARBELLA;ESPANA;U1;31/12/2021;5.014
268.;CONSERVAS FREDO SL (EN LIQUIDACION);B39005095;LAREDO;ESPANA;U1;31/12/2014;4.949
269.;CERAMICAS GAYA SOCIEDAD ANONIMA (EN LIQUIDACION);A12010948;CASTELLON;ESPANA;U1;31/12/2010;4.873
270.;METIS S.L.;B17011032;BARCELONA;ESPANA;U1;31/12/2021;4.852
271.;CHAPAS Y METALES ROSDAR S.A. (EN LIQUIDACION);A08189870;BARCELONA;ESPANA;U1;31/12/2018;4.844
272.;ESTANCIA HOTELERA SA (EN LIQUIDACION);A07014517;CALVIA;ESPANA;U1;31/12/2009;4.834
273.;ANGEL RODRIGUEZ Y COMPAÑIA SOCIEDAD LIMITADA;B33604422;GIJON/XIXON;ESPANA;U1;31/12/2010;4.833
274.;PI MANSERGAS ALCARRAZ SA;A08186033;BARCELONA;ESPANA;U1;31/12/2021;4.829
275.;COMERCIAL DEL RELIEVE SA;A08197881;MONTCADA I REIXAC;ESPANA;U1;31/12/2002;4.793
276.;MADERAS GIRON SA.;A10002632;PLASENCIA;ESPANA;U1;31/12/2021;4.782
277.;YESOS ALBI SA;A09003583;VALLE DE OCA;ESPANA;U1;31/12/2021;4.776
278.;S.C. DE PIENSOS DE TAMARITE;F22004501;TAMARITE DE LITERA;ESPANA;U1;31/12/2000;4.636
