;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;EL POZO ALIMENTACION SA;A30014377;ALHAMA DE MURCIA;ESPANA;U2;31/12/2021;1.454.396
2.;HP PRINTING AND COMPUTING SOLUTIONS SLU;B28260933;LAS ROZAS DE MADRID;ESPANA;U1;31/10/2021;1.351.929
3.;J GARCIA CARRION, SA;A08267403;JUMILLA;ESPANA;U2;31/12/2020;850.125
4.;EMPRESA MUNICIPAL DE TRANSPORTES DE MADRID SA;A28046316;MADRID;ESPANA;U1;31/12/2021;634.379
5.;SANTANDER ASSET MANAGEMENT SA SGIIC;A28269983;MADRID;ESPANA;U1;31/12/2021;524.978
6.;MAHLE ELECTRONICS SLU;B16033219;MOTILLA DEL PALANCAR;ESPANA;U2;31/12/2021;214.908
7.;GLENCORE CEREALES ESPANA SA (EXTINGUIDA);A28258226;MADRID;ESPANA;U1;31/12/2001;197.896
8.;AGROPECUARIA PALENTINA S.C.L.;F34003889;PALENCIA;ESPANA;U2;30/06/2021;187.168
9.;PROMOCIONES HABITAT, SA;A08263972;MADRID;ESPANA;U2;31/12/2021;169.725
10.;LEGRAND GROUP ESPAÑA SL;B08272064;TORREJON DE ARDOZ;ESPANA;U2;31/12/2021;168.606
11.;ERNST & YOUNG ABOGADOS SLP;B28266526;MADRID;ESPANA;U1;30/06/2021;151.466
12.;CARTONAJES BERNABEU SA;A46052809;L'OLLERIA;ESPANA;U2;31/12/2021;146.595
13.;PECOMARK SA;A08274805;BARCELONA;ESPANA;U2;31/12/2021;145.600
14.;REXEL SPAIN SL.;B28262822;LEGANES;ESPANA;U1;31/12/2021;142.535
15.;COMPAÑIA ESPAÑOLA DE SEGUROS DE CREDITO A LA EXPORTACION SOCIEDAD ANONIMA COMPAÑIA DE SEGUROS Y REASEGUROS SOCIEDAD MERC;A28264034;MADRID;ESPANA;U2;31/12/2020;141.426
16.;HERMANOS MACIAS GARCIA SA;A29018223;MALAGA;ESPANA;U1;31/12/2000;139.121
17.;ESTEE LAUDER SA;A08272858;MADRID;ESPANA;U1;30/06/2020;137.238
18.;GESTAMP METALBAGES SA.;A08279093;SANTPEDOR;ESPANA;U2;31/12/2020;115.268
19.;RADIO POPULAR, SOCIEDAD ANONIMA CADENA DE ONDAS POPULARES ESPAÑOLAS;A28281368;MADRID;ESPANA;U2;31/12/2021;110.754
20.;CAP GEMINI ESPANA SA (EXTINGUIDA);A28274231;MADRID;ESPANA;U1;31/12/2000;102.634
21.;TRANSPORTES CALSINA Y CARRE SOCIEDAD LIMITADA;B17019373;PONT DE MOLINS;ESPANA;U2;31/12/2020;100.466
22.;SOGESUR SOCIEDAD DE GESTION DE SERVICIOS URBANOS SA (EXTINGUIDA);A29019940;MADRID;ESPANA;U1;31/12/2001;90.671
23.;MEDICHEM SA;A08287104;SANT JOAN DESPI;ESPANA;U1;31/12/2021;85.959
24.;GIRBAU SA;A08276438;VIC;ESPANA;U2;31/12/2021;85.518
25.;CERAMICA SALONI SOCIEDAD ANONIMA UNIPERSONAL;A12014577;SANT JOAN DE MORO;ESPANA;U1;31/03/2021;84.758
26.;TECSA EMPRESA CONSTRUCTORA SOCIEDAD ANONIMA;A48059208;BILBAO;ESPANA;U1;31/12/2021;82.055
27.;REYENVAS SOCIEDAD ANONIMA;A41028515;ALCALA DE GUADAIRA;ESPANA;U1;31/12/2021;79.716
28.;SAULEDA SA;A08278731;BARCELONA;ESPANA;U1;31/12/2021;72.979
29.;EUROMED SAU;A08277212;MOLLET DEL VALLES;ESPANA;U1;31/12/2021;71.696
30.;MITSUI & CO ESPANA SL (EXTINGUIDA);B28269389;MADRID;ESPANA;U1;31/03/2004;69.848
31.;SANCHEZ Y LAGO SL;B33014911;MADRID;ESPANA;U1;31/12/2021;67.990
32.;MOSTOS ESPANOLES SA;A13005061;TOMELLOSO;ESPANA;U1;31/08/2021;67.600
33.;SOR IBERICA SOCIEDAD ANONIMA;A46051918;ALZIRA;ESPANA;U2;31/12/2021;67.354
34.;CESPA CONTEN SOCIEDAD ANONIMA (EXTINGUIDA);A48060057;BARCELONA;ESPANA;U1;31/12/2012;65.787
