;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;MERCADONA SA;A46103834;TAVERNES BLANQUES;ESPANA;U2;31/12/2021;25.199.278
2.;EMPRESA DE TRANSFORMACION AGRARIA SA SME MP;A28476208;MADRID;ESPANA;U2;31/12/2021;757.453
3.;ANECOOP S.C.;F46099222;VALENCIA;ESPANA;U2;30/09/2020;728.633
4.;CENTROS DE DISTRIBUCION VEGON SA (EXTINGUIDA);A36614006;A CORUÑA;ESPANA;U1;31/01/2005;429.070
5.;WURTH ESPAÑA SA;A08472276;PALAU-SOLITA I PLEGAMANS;ESPANA;U2;31/12/2021;352.175
6.;OYSHO ESPAÑA SA;A15026347;ARTEIXO;ESPANA;U1;31/01/2021;325.955
7.;FELIX SOLIS AVANTIS SA;A13008339;VALDEPEÑAS;ESPANA;U2;31/12/2021;264.199
8.;FUJITSU TECHNOLOGY SOLUTIONS SA;A28472819;POZUELO DE ALARCON;ESPANA;U2;31/03/2021;260.088
9.;ITURRI SA;A41050113;SEVILLA;ESPANA;U2;31/12/2021;229.176
10.;AN AVICOLA MELIDA SL;B31070584;MELIDA;ESPANA;U1;30/06/2021;226.354
11.;FCC INDUSTRIAL E INFRAESTRUCTURAS ENERGETICAS SA;A28482024;MADRID;ESPANA;U2;31/12/2020;178.517
12.;KELLOGG ESPAÑA SL;B08163008;POZUELO DE ALARCON;ESPANA;U2;31/12/2019;175.890
13.;SERVINFORM SA;A41050980;MAIRENA DEL ALJARAFE;ESPANA;U2;31/12/2021;168.036
14.;ANTALIS IBERIA SA (EXTINGUIDA);A28459998;VELILLA DE SAN ANTONIO;ESPANA;U2;31/12/2007;163.684
15.;CHEMO IBERICA SA;A08460990;ALCALA DE HENARES;ESPANA;U1;31/12/2021;159.071
16.;MAPFRE INTERNACIONAL SOCIEDAD ANONIMA.;A28306033;MAJADAHONDA;ESPANA;U2;31/12/2020;154.531
17.;EUROP ASSISTANCE ESPAÑA SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS (EXTINGUIDA);A28461994;MADRID;ESPANA;U2;31/12/2018;154.100
18.;FRIME SA;A08489320;BARCELONA;ESPANA;U1;31/12/2021;148.546
19.;ALMACENES CASAN SA (EXTINGUIDA);A15027865;BETANZOS;ESPANA;U1;31/12/2009;142.082
20.;INTERMALTA SA;A31071913;SAN ADRIAN;ESPANA;U1;30/06/2021;126.370
21.;EMTE MECHANICAL ENGINEERING SA (EXTINGUIDA);A08462392;ESPLUGUES DE LLOBREGAT;ESPANA;U1;31/12/2012;122.105
22.;NUTRIMENTOS DEZA S.A.;A36011385;SILLEDA;ESPANA;U1;31/12/2020;120.242
23.;SIEMENS ELASA S.A. (EXTINGUIDA);A50040989;ZARAGOZA;ESPANA;U1;30/09/2001;117.830
24.;AUTOMOVILES LOUZAO SL;B15027089;OLEIROS;ESPANA;U1;31/12/2021;111.579
25.;GESTAIR SA;A28472124;ALCOBENDAS;ESPANA;U1;31/12/2021;109.729
