;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;REPSOL QUIMICA SA;A28122992;MADRID;ESPANA;U1;31/12/2021;4.306.583
2.;SEGUROS CATALANA OCCIDENTE SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS;A28119220;MADRID;ESPANA;U1;31/12/2021;1.192.520
3.;SANTANDER CONSUMER FINANCE SA;A28122570;BOADILLA DEL MONTE;ESPANA;U2;31/12/2021;1.071.250
4.;ORONA S.COOP.;F20025318;HERNANI;ESPANA;U2;31/12/2020;491.390
5.;FAGOR EDERLAN S.C.;F20025292;ESKORIATZA;ESPANA;U2;31/12/2020;341.785
6.;ACCIONA FACILITY SERVICES SA;A08175994;BARCELONA;ESPANA;U2;31/12/2021;297.276
7.;TSK ELECTRONICA Y ELECTRICIDAD SA;A48035901;GIJON;ESPANA;U2;31/12/2021;264.484
8.;IRIZAR S.COOP.;F20026944;ORMAIZTEGI;ESPANA;U2;31/12/2020;214.964
9.;HALCON CERAMICAS SLU;B12008272;L'ALCORA;ESPANA;U2;31/12/2021;195.764
10.;PIENSOS DEL SEGRE SA;A25006099;BALAGUER;ESPANA;U2;31/12/2021;184.708
11.;INDUSTRIAS FRIGORIFICAS DEL LOURO, SA;A36001998;O PORRIÑO;ESPANA;U2;31/12/2020;181.021
12.;INEOS COMPOSITES HISPANIA SL.;B12008389;BENICARLO;ESPANA;U2;31/12/2021;179.231
13.;THE SPB GLOBAL CORPORATION SOCIEDAD LIMITADA.;B46020541;CHESTE;ESPANA;U1;31/12/2021;167.840
14.;ARANIA SA;A48035158;AMOREBIETA-ETXANO;ESPANA;U2;31/12/2021;161.313
15.;KNORR-BREMSE ESPAÑA S.A.;A28125078;GETAFE;ESPANA;U1;31/12/2020;160.551
16.;ELECTROLUX ESPAÑA SA;A28125706;ALCOBENDAS;ESPANA;U1;31/12/2021;157.152
17.;VALEO TERMICO SAU;A50010057;ZARAGOZA;ESPANA;U1;31/12/2021;156.657
18.;SIGNIFY IBERIA SL.;B47002811;MADRID;ESPANA;U2;31/12/2021;147.332
19.;CANON ESPAÑA SA;A28122125;ALCOBENDAS;ESPANA;U2;31/12/2021;143.815
20.;TIMAC AGRO ESPAÑA SA;A31007644;ORKOIEN;ESPANA;U1;31/12/2020;140.898
21.;BEIERSDORF SA;A28116176;TRES CANTOS;ESPANA;U1;31/12/2020;136.248
22.;ARAGONESA DE PIENSOS, SA;A50010263;UTEBO;ESPANA;U2;31/12/2021;133.364
23.;BATZ S. COOP.;F48037600;IGORRE;ESPANA;U2;31/12/2019;127.870
24.;ELECTROLUX HOME PRODUCTS ESPAÑA SA (EXTINGUIDA);A08145872;ALCOBENDAS;ESPANA;U1;31/12/2014;124.403
25.;COPRECI S.C.L.;F20025474;ARETXABALETA;ESPANA;U2;31/12/2020;118.687
26.;MATADERO FRIGORIFICO DEL CARDONER SA;A08154650;SANT JOAN DE VILATORRADA;ESPANA;U2;31/12/2020;115.993
27.;EUROMASTER AUTOMOCION Y SERVICIOS SA;A41014523;MADRID;ESPANA;U2;31/12/2020;113.669
28.;COOP AGRICOLA GANADERA DE ORENSE;F32003584;PORQUEIRA;ESPANA;U1;31/12/2016;112.820
29.;MARITIMA DEL MEDITERRANEO SAU;A08148710;BARCELONA;ESPANA;U2;31/12/2021;112.691
30.;CAJA RURAL DE ASTURIAS S.C. DE CREDITO;F33007337;OVIEDO;ESPANA;U1;31/12/2021;111.502
31.;SMITH AND NEPHEW SA;A28123297;SANT JOAN DESPI;ESPANA;U1;31/12/2020;101.834
32.;COMPAÑIA EXTREMEÑA DE ACEITES Y CEREALES SL;B10002475;;ESPANA;U1;31/12/2020;100.261
33.;SANOMA EDUCACION SL.;B28119261;TRES CANTOS;ESPANA;U1;31/12/2021;98.482
34.;TELVENT ENERGIA SAU (EXTINGUIDA);A28114981;ALCOBENDAS;ESPANA;U2;31/12/2014;85.087
35.;EBROSA SAU;A50009810;ZARAGOZA;ESPANA;U2;31/12/2021;81.099
36.;COMETAL SA;A28117026;MADRID;ESPANA;U1;30/09/2021;78.493
37.;CEMEVISA 2000 SA;A48035273;AMOREBIETA-ETXANO;ESPANA;U1;31/12/2021;76.194
38.;INFILCO ESPANOLA SA (EXTINGUIDA);A28121796;ALCOBENDAS;ESPANA;U1;31/12/2006;75.216
39.;PINTURAS HEMPEL SA;A08183881;POLINYA;ESPANA;U1;31/12/2020;72.487
40.;IQVIA INFORMATION SAU;A28117463;MADRID;ESPANA;U1;31/12/2020;71.714
41.;SANDVIK ESPAÑOLA SA;A08144032;SAN FERNANDO DE HENARES;ESPANA;U2;31/12/2020;70.304
42.;WARNER LAMBERT ESPANA S.A. (EXTINGUIDA);A08149122;EL PRAT DE LLOBREGAT;ESPANA;U2;30/11/2000;67.698
43.;MUELLES Y BALLESTAS HISPANO ALEMANAS SOCIEDAD ANONIMA (EXTINGUIDA);A12008041;CASTELLON;ESPANA;U1;31/12/2014;66.708
44.;INDUSTRIAS ALCORENSES CONFEDERADAS, SA;A12008025;L'ALCORA;ESPANA;U1;31/12/2021;66.166
45.;TALLERES JASO SL (EXTINGUIDA);B20030615;ITSASONDO;ESPANA;U1;31/12/2001;61.486
46.;SCHWARTZ HAUTMONT CONSTRUCCIONES METALICAS SOCIEDAD ANONIMA;A43007509;VILA-SECA;ESPANA;U2;31/12/2021;60.606
47.;TALLERES ZITRON, SA;A33604117;GIJON;ESPANA;U2;31/12/2021;55.668
48.;CHINCHURRETA SA;A20032678;OÑATI;ESPANA;U1;31/12/2020;55.649
49.;HERTZ DE ESPAÑA SL;B28121549;LAS ROZAS DE MADRID;ESPANA;U2;31/12/2020;55.096
50.;HIERROS DEL TURIA S.A.;A46020640;POZUELO DE ALARCON;ESPANA;U1;31/12/2021;55.069
51.;AC MARCA ADHESIVES SA.;A08147191;ALCOBENDAS;ESPANA;U1;31/12/2021;53.502
52.;COOPER-STANDARD AUTOMOTIVE ESPAÑA SL;B28125185;TARAZONA;ESPANA;U1;31/12/2021;52.644
53.;IMPREX EUROPE SL;B28115764;FUENLABRADA;ESPANA;U1;31/12/2021;51.365
54.;SOCIEDAD IBERICA DE MOLTURACION SIMSA S.A.;A28123362;MADRID;ESPANA;U1;31/08/2003;50.363
55.;UNIO NUTS S.C.C.L.;F43011287;REUS;ESPANA;U1;31/07/2019;50.308
56.;MERCANTIL INTERCONTINENTAL SA (EXTINGUIDA);A28126423;LEGANES;ESPANA;U1;31/12/2001;49.144
57.;MOTOR LLANSA SL;B08156127;BARCELONA;ESPANA;U1;31/12/2021;48.397
58.;TRANSPORTES PORTUARIOS SA;A08139404;L'HOSPITALET DE LLOBREGAT;ESPANA;U2;31/12/2019;47.845
59.;RAMIREZ SANTOS SL;B14009823;CORDOBA;ESPANA;U1;31/12/2021;47.524
60.;MCCANN ERICKSON SA;A28121192;MADRID;ESPANA;U2;31/12/2020;46.776
61.;GHESA INGENIERIA Y TECNOLOGIA SA;A28126274;MADRID;ESPANA;U2;31/12/2021;45.455
62.;GARCIA BALLESTER SL;B12008553;BORRIANA/BURRIANA;ESPANA;U2;31/07/2021;41.498
63.;HEARST ESPAÑA SL.;B31008212;MADRID;ESPANA;U1;31/12/2021;40.280
64.;SETOR SA (EXTINGUIDA);A28144160;MADRID;ESPANA;U1;31/12/2017;39.878
65.;HEIDELBERG SPAIN SL.;B08140287;CORNELLA DE LLOBREGAT;ESPANA;U1;31/03/2021;39.018
66.;RIPAY SA;A03006384;CASTALLA;ESPANA;U1;31/12/2021;38.283
67.;CABBSA OBRAS Y SERVICIOS SA;A28124519;MADRID;ESPANA;U2;31/12/2021;37.856
68.;PRODUCTOS QUIMICOS GONMISOL SA;A08186215;SANT ADRIA DE BESOS;ESPANA;U1;31/12/2020;36.584
69.;MEADWESTVACO CALMAR SLU (EXTINGUIDA);B08138703;BARCELONA;ESPANA;U1;31/12/2015;36.523
70.;CELULOSAS MOLDEADAS DE ATXONDO SA.;A48034177;ATXONDO;ESPANA;U2;31/12/2021;35.273
71.;YURRITA E HIJOS SA;A20026415;MUTRIKU;ESPANA;U1;31/12/2020;34.381
72.;PLASTICOS TA TAY SAU.;A08150583;MONTORNES DEL VALLES;ESPANA;U1;31/12/2021;33.792
73.;DESHIDRATADORA DE BINEFAR SL (EXTINGUIDA);B22003099;ESPLUS;ESPANA;U1;31/12/2010;33.297
74.;DONUT CORPORATION SEVILLA SA (EXTINGUIDA);A07011208;SEVILLA;ESPANA;U1;31/12/2001;33.273
75.;LUMELCO SA;A28118354;SAN SEBASTIAN DE LOS REYES;ESPANA;U2;31/12/2020;33.086
76.;TRABAJOS BITUMINOSOS SL;B28114957;VELILLA DE SAN ANTONIO;ESPANA;U2;31/12/2021;32.816
77.;HELLA SA;A28149813;TRES CANTOS;ESPANA;U1;31/05/2021;32.127
78.;METROPOL CERAMICA S.L. (EXTINGUIDA);B12011219;NULES;ESPANA;U1;31/12/2008;32.048
79.;COOP AGRICOLA ARAGONESA DEL EBRO;F50017938;ZARAGOZA;ESPANA;U1;31/12/2020;32.045
