;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
52.;EUROCONTROL SA;A28318012;MADRID;ESPANA;U1;31/12/2021;68.659
53.;CAJA RURAL DE ZAMORA COOPERATIVA DE CREDITO;F49002454;ZAMORA;ESPANA;U2;31/12/2021;68.375
54.;SAN JOSE LOPEZ SA;A20038394;OIARTZUN;ESPANA;U2;31/12/2021;66.932
55.;MIRALBAIDA SL;B28320364;MADRID;ESPANA;U1;31/12/2008;66.356
56.;SELEV PET-INDUSTRY SL.;B46062071;SILLA;ESPANA;U1;31/12/2021;63.052
57.;ALCALIBER SAU;A28340206;MADRID;ESPANA;U1;31/12/2020;61.113
58.;EMBALAJES PETIT SA;A08314577;PARETS DEL VALLES;ESPANA;U1;31/12/2021;60.812
59.;BRILEN SA;A08356313;ZARAGOZA;ESPANA;U2;31/12/2021;60.629
60.;CHUYVAL SL (EXTINGUIDA);B46068169;TORRENT;ESPANA;U1;31/12/2007;60.414
61.;ETRALUX SOCIEDAD ANONIMA;A46066791;VALENCIA;ESPANA;U1;31/12/2021;58.713
62.;PROINSERGA, SA (EN LIQUIDACION);A40003816;FUENTEPELAYO;ESPANA;U2;31/12/2012;58.622
63.;ELRING KLINGER SOCIEDAD ANONIMA;A43018084;REUS;ESPANA;U1;31/12/2021;55.911
64.;AUTOPISTAS DE NAVARRA SA;A31038771;ARANGUREN;ESPANA;U1;31/12/2021;55.067
65.;MARTICO SOCIEDAD LIMITADA;B48064240;BILBAO;ESPANA;U1;31/12/2020;54.903
66.;LACTEAS DEL JARAMA SA;A28312130;FUENTE EL SAZ DE JARAMA;ESPANA;U1;31/12/2021;54.478
67.;JOSE SANCHEZ PEÑATE SA (EN LIQUIDACION);A35020726;LAS PALMAS DE GRAN CANARIA;ESPANA;U2;31/12/2020;52.795
68.;PINTURAS ISAVAL SL;B46069654;RIBA-ROJA DE TURIA;ESPANA;U2;31/12/2021;51.810
69.;EQUIPOS NUCLEARES SA SME.;A28325520;CAMARGO;ESPANA;U2;31/12/2020;51.524
70.;ALAVA-LASCARAY S.A.;A01008457;VITORIA-GASTEIZ;ESPANA;U1;31/12/2021;49.800
71.;MC GRAW HILL INTERAMERICANA DE ESPAÑA SA;N4401007B;MADRID;ESPANA;C1;31/12/2002;49.135
72.;CHOVI SL;B46070595;BENIFAIO;ESPANA;U2;31/12/2021;47.736
73.;SELVAFIL SA;A17020405;MAÇANET DE LA SELVA;ESPANA;U1;31/12/2021;46.634
74.;COEXPAN SA;A28320984;ALCALA DE HENARES;ESPANA;U1;31/12/2021;46.496
75.;EATON ROS SA (EXTINGUIDA);A08164683;SANT VICENÇ DELS HORTS;ESPANA;U1;31/12/2000;46.071
76.;EPTA IBERIA SA;A28310613;SAN FERNANDO DE HENARES;ESPANA;U1;31/12/2021;45.765
77.;KEYTEL SAU (EXTINGUIDA);A08335366;BARCELONA;ESPANA;U1;31/12/2020;44.460
78.;SUMINISTROS MEDINA SA (EXTINGUIDA);A28333342;LEGANES;ESPANA;U1;31/12/2006;44.226
79.;BODEGAS RAMON BILBAO SA;A26012021;HARO;ESPANA;U1;31/12/2020;44.035
80.;G P MANUFACTURAS DEL ACERO, SA;A41035742;DOS HERMANAS;ESPANA;U1;31/12/2019;43.474
81.;SOCIAS Y ROSSELLO SL.;B07036569;PALMA;ESPANA;U2;31/12/2021;43.185
82.;INDUSTRIAS MECANOELECTRICAS FONTECHA YEBENES SL;B45006616;LOS YEBENES;ESPANA;U2;31/12/2020;42.755
83.;REYAN SA;A08329419;BARCELONA;ESPANA;U1;31/12/2020;41.351
84.;HORNO DE PATERNA 2020 SA.;A08329971;PATERNA;ESPANA;U1;31/12/2021;41.196
85.;ENCOFRADOS J ALSINA SA;A08332363;MONTCADA I REIXAC;ESPANA;U2;31/12/2020;40.712
86.;SOPENA METALES SOCIEDAD LIMITADA (EN LIQUIDACION);B46063046;NAQUERA;ESPANA;U1;31/12/2010;39.295
87.;TECNICA DE DEPURACION SA (EXTINGUIDA);A28312601;MADRID;ESPANA;U1;31/12/2001;39.104
88.;SOME SA;A08328908;SANT QUIRZE DE BESORA;ESPANA;U2;31/12/2021;38.770
89.;KUKA IBERIA S.A.;A08308298;VILANOVA I LA GELTRU;ESPANA;U1;31/12/2020;38.686
90.;EMSUR MACDONELL SA;A28321214;ALCALA DE HENARES;ESPANA;U1;31/12/2021;38.505
91.;NIDEC INDUSTRIAL AUTOMATION IBERIA SA.;A28318749;IRUN;ESPANA;U2;31/03/2021;37.789
92.;EGANA SA (EXTINGUIDA);A48064406;BERRIZ;ESPANA;U2;31/12/2001;37.667
93.;ALUVAL SL;B46070728;PICANYA;ESPANA;U1;31/12/2021;37.144
94.;NAVARTI GRUPO SA (EXTINGUIDA);A12016408;ONDA;ESPANA;U1;31/12/2012;36.922
95.;TOPFORM SL (EXTINGUIDA);B28313351;YUNCOS;ESPANA;U2;31/12/2017;36.721
96.;GENERAL TECNICA INDUSTRIAL S.L.;B28309557;MADRID;ESPANA;U2;31/12/2020;35.337
97.;CARTONAJES SANTORROMAN SA;A26011239;CALAHORRA;ESPANA;U1;31/12/2020;35.286
98.;TRANSPORTES MIXTOS ESPECIALES SA;A39010004;TORRELAVEGA;ESPANA;U1;31/12/2021;34.817
99.;KRAPE SA;A28329704;LEGANES;ESPANA;U1;31/12/2021;34.654
100.;ABB NIESSEN SA (EXTINGUIDA);A20013728;OIARTZUN;ESPANA;U1;31/12/2000;34.092
101.;FLUCHOS SL;B26011627;ARNEDO;ESPANA;U1;31/12/2020;33.643
102.;SALVA INDUSTRIAL, SA (EXTINGUIDA);A20039426;LEZO;ESPANA;U2;31/12/2017;33.559
103.;PLANTAS DE NAVARRA SA;A31039795;VALTIERRA;ESPANA;U2;31/03/2021;33.470
104.;TURYCAR SA;A08316440;SANT BOI DE LLOBREGAT;ESPANA;U1;31/12/2021;32.861
105.;MIROFRET SA  (EXTINGUIDA);A03035417;ALCOY/ALCOI;ESPANA;U1;31/12/2007;32.292
106.;LACTEAS DEL ATLANTICO SA (EXTINGUIDA);A15019789;CALDAS DE REIS;ESPANA;U1;31/12/2000;32.247
107.;PRODUCTORES GANADEROS Y TECNICOS ASOCIADOS SA;A47010194;VALLADOLID;ESPANA;U1;31/12/2021;32.163
108.;COMERCIAL ESCOLA SL;B08642324;ESPLUGUES DE LLOBREGAT;ESPANA;U1;31/12/2021;31.824
109.;AUTOMOVILES PEREZ RUMBAO SOCIEDAD ANONIMA;A32004160;SAN CIBRAO DAS VIÑAS;ESPANA;U1;31/12/2021;31.647
110.;LAFFORT ESPAÑA SA;A20014502;ERRENTERIA;ESPANA;U1;31/12/2020;31.451
111.;UNION SALAZONERA ISLEÑA, SA;A21006861;ISLA CRISTINA;ESPANA;U1;31/12/2020;31.271
112.;VALENCIANA DE NEGOCIOS SA (EXTINGUIDA);A46069084;VALENCIA;ESPANA;U2;31/12/2006;30.909
113.;IVOCLAR VIVADENT SL;B28306397;ALCOBENDAS;ESPANA;U1;31/12/2021;30.827
114.;CATELSA CACERES SA;A10005882;CACERES;ESPANA;U1;31/12/2020;30.241
115.;REYAN TUSET SA;A08329435;BARCELONA;ESPANA;U1;31/12/2021;29.949
116.;BACAICOA INDUSTRIAS PLASTICAS SA;A31038912;EZCABARTE;ESPANA;U1;31/12/2020;29.649
117.;TALLERES ALEGRIA SA;A33608563;CARREÑO;ESPANA;U2;31/12/2021;29.231
118.;ZF LEMFORDER TVA SOCIEDAD ANONIMA;A48065882;ERMUA;ESPANA;U1;31/12/2021;29.047
119.;VEKAPLAST IBERICA SA;A09013442;BURGOS;ESPANA;U1;31/12/2021;28.381
120.;MERCADOS CENTRALES DE ABASTECIMIENTO DE MADRID, SOCIEDAD ANONIMA;A28327393;MADRID;ESPANA;U1;31/12/2021;28.371
121.;GRANJA CRUSVI SA;A43016757;BARCELONA;ESPANA;U2;31/12/2018;28.174
122.;MARESTO SA;A08305815;ARONA;ESPANA;U1;31/12/2021;27.743
123.;ZARZUELA SOCIEDAD ANONIMA EMPRESA CONSTRUCTORA;A47010095;VALLADOLID;ESPANA;U2;31/12/2021;27.654
124.;TABLICIA, SA  (EXTINGUIDA);A27006519;LUGO;ESPANA;U2;31/12/2010;26.636
125.;INDUSTRIAS RELAX SL;B50027929;LA MUELA;ESPANA;U2;31/12/2021;26.378
126.;TEJAS BORJA SOCIEDAD ANONIMA.;A46068599;LLIRIA;ESPANA;U1;31/12/2021;26.262
127.;HERMANOS JIMENEZ GOMEZ SL (EXTINGUIDA);B28304129;FUENLABRADA;ESPANA;U1;31/12/2019;26.241
128.;TAYLOR NELSON SOFRES SA;A08309080;SANT CUGAT DEL VALLES;ESPANA;U1;31/12/2020;26.201
129.;BRUKER ESPAÑOLA, SA, SOCIEDAD UNIPERSONAL;A28315539;RIVAS-VACIAMADRID;ESPANA;U1;31/12/2019;26.109
130.;COMERCIAL DE PIENSOS Y CEREALES SA;A08328403;BARCELONA;ESPANA;U1;31/12/2021;26.081
131.;GEVORA CONSTRUCCIONES SA;A06006571;BADAJOZ;ESPANA;U2;31/12/2021;26.068
132.;LORAMENDI SA (EXTINGUIDA);A01008838;VITORIA-GASTEIZ;ESPANA;U1;31/12/2004;25.491
133.;PLASTICOS VANGUARDIA SOCIEDAD ANONIMA;A28118230;AZUQUECA DE HENARES;ESPANA;U1;31/12/2021;24.396
134.;INDUSTRIAS PELETERAS SA;A46068284;CANALS;ESPANA;U2;31/12/2021;24.130
135.;CANTERA LA TORRETA SA;A28328029;CASTELLO DE LA PLANA;ESPANA;U1;31/12/2020;23.704
136.;SILOS DE TARRAGONA SA (EXTINGUIDA);A43020486;TARRAGONA;ESPANA;U1;31/12/2018;23.682
137.;MAGNETRON SOCIEDAD ANONIMA;A28325785;MADRID;ESPANA;U1;31/12/2020;23.613
138.;ALPLA IBERICA S. A. (EXTINGUIDA);A08361404;LES FRANQUESES DEL VALLES;ESPANA;U1;31/12/2000;23.481
139.;VIFECO GALICIA SA (EXTINGUIDA);A15020225;LEGANES;ESPANA;U1;31/12/2001;23.322
140.;FORUM INMOBILIARIO CISNEROS SA (EXTINGUIDA);A28342764;VALENCIA;ESPANA;U2;31/12/2005;23.274
141.;CONSTRUCCIONES MURIAS SA;A20038279;DONOSTIA/SAN SEBASTIAN;ESPANA;U2;31/12/2020;23.210
142.;HANSGROHE SA;A08333015;MOLINS DE REI;ESPANA;U1;31/12/2021;23.163
143.;TRANSTEL SA;A46063814;RIBA-ROJA DE TURIA;ESPANA;U1;31/12/2020;22.952
144.;CLINICA SANTA ISABEL, SA (EXTINGUIDA);A41001413;SEVILLA;ESPANA;U1;31/12/2015;22.655
145.;CARDIVAIS SA.;A29025988;MALAGA;ESPANA;U1;31/12/2021;22.636
146.;OGILVYONE WORLDWIDE SA;A08301731;BARCELONA;ESPANA;U1;31/12/2020;22.353
147.;COLORIFICIO CERAMICO BONET, SA (EXTINGUIDA);A12006136;RIBESALBES;ESPANA;U2;31/12/2010;22.162
148.;FEDERICO GINER SA (EXTINGUIDA);A46066825;TAVERNES DE LA VALLDIGNA;ESPANA;U1;31/12/2007;22.101
149.;G'S ESPAÑA HOLDINGS SL;B03012911;TORRE-PACHECO;ESPANA;U2;30/04/2020;22.071
150.;CONSTRUCCIONES Y CONTRATAS BILLENNIUM SA;A07038250;PALMA;ESPANA;U1;31/12/2000;21.607
151.;CENTRAL BAR SA;A08375735;ESPLUGUES DE LLOBREGAT;ESPANA;U1;31/12/2020;21.550
152.;MACER SL;B12015210;ALMASSORA;ESPANA;U1;31/12/2021;21.398
153.;LACTEAS CASTELLANO LEONESAS SAU;A28335461;FRESNO DE LA RIBERA;ESPANA;U1;31/12/2021;21.268
154.;BODEGAS OLARRA SA;A28333540;LOGROÑO;ESPANA;U2;31/12/2020;21.228
155.;CONSORCIO DE SERVICIOS SA (EN LIQUIDACION);A37014768;MADRID;ESPANA;U1;31/12/2015;21.174
156.;VIUDA DE JOAQUIN ORTEGA SOCIEDAD ANONIMA;A02006021;VILLARROBLEDO;ESPANA;U1;31/08/2018;21.136
157.;INDUSTRIAL DE VILADECANS SA;A08317554;BARCELONA;ESPANA;U1;31/12/2021;21.024
158.;PAYPER, SA;A25011180;BELL-LLOC D'URGELL;ESPANA;U1;31/12/2021;20.982
159.;AUTOMOVILES HOGAR E INDUSTRIA SL (EXTINGUIDA);B18012013;SEVILLA;ESPANA;U1;31/12/2004;20.888
160.;LIMPUL S.A. (EXTINGUIDA);A33016692;SANT CUGAT DEL VALLES;ESPANA;U1;31/12/2008;20.857
161.;GENERAL DE PIENSOS DE SORIA SA;A42001222;GARRAY;ESPANA;U1;31/12/2021;20.800
162.;SOC COOP TERA ESLA ORBIGO;F49005762;BENAVENTE;ESPANA;U1;30/06/2001;20.337
163.;SUMINISTRO DE ELECTRODOMESTICOS SA (EN LIQUIDACION);A03040144;ALICANTE/ALACANT;ESPANA;U2;31/12/2018;20.172
164.;TRES TORRES S.A. (EXTINGUIDA);A08371577;BARCELONA;ESPANA;U1;31/12/2010;19.743
165.;CALZADOS HERGAR SA;A26011775;ARNEDO;ESPANA;U1;31/12/2021;19.655
166.;AUTONAVAL SA  (EXTINGUIDA);A30604680;CARTAGENA;ESPANA;U1;31/12/2006;19.500
167.;KEY SA (EXTINGUIDA);A28328458;MAIRENA DEL ALJARAFE;ESPANA;U1;31/12/2013;19.447
168.;DISTRIBUIDORA INTERNACIONAL DE METALES SOCIEDAD ANONIMA;A28323350;ERANDIO;ESPANA;U1;31/12/2016;19.391
169.;AUXICOLOR SL;B08320038;TERRASSA;ESPANA;U2;31/12/2021;18.874
170.;BOSSAR PACKAGING SA (EXTINGUIDA);A08314080;BARBERA DEL VALLES;ESPANA;U1;31/12/2019;18.866
171.;EUROPEA DE CONSTRUCCIONES METALICAS SA;A41031303;UTRERA;ESPANA;U1;31/12/2018;18.744
172.;VARIAN IBERICA SL (EXTINGUIDA);B28310290;MADRID;ESPANA;U1;30/09/2009;18.683
173.;S.C. XALLAS DE SANTA COMBA;F15020290;SANTA COMBA;ESPANA;U1;31/12/2020;18.552
174.;DIELECTRO CANARIAS SOCIEDAD ANONIMA (EXTINGUIDA);A35021781;LAS PALMAS DE GRAN CANARIA;ESPANA;U1;31/12/2019;18.165
175.;INDUSTRIAS TRANSFORMADORAS DEL CEMENTO ETERNIT S.A. (EXTINGUIDA);A08314965;MADRID;ESPANA;U1;31/12/2003;18.041
176.;PROJECTES I OBRES LEVANTE SA;A08312944;BARCELONA;ESPANA;U1;31/12/2008;17.927
177.;MANVI SA;A28321313;MADRID;ESPANA;U1;31/12/2020;17.823
178.;S TOUS SL;B08332074;MANRESA;ESPANA;U2;31/12/2021;17.736
179.;GARAJE MODERNO SA (EXTINGUIDA);A01000991;VITORIA-GASTEIZ;ESPANA;U1;31/12/2016;17.682
180.;CONTRATAS MOTA SA;A33016403;AVILES;ESPANA;U2;31/12/2021;17.482
181.;HENDRIX GENETICS SA.;A28313211;A CORUÑA;ESPANA;U1;31/12/2021;17.476
182.;SERRAUTO SL;B03037231;ELX/ELCHE;ESPANA;U1;31/12/2021;17.464
183.;COMPAÑIA ESPAÑOLA DE RECUPERACIONES FERRICAS SA;A48066435;AMOREBIETA-ETXANO;ESPANA;U1;31/12/2021;17.031
184.;AGUAS DE CABREIROA SA;A32004194;VERIN;ESPANA;U1;31/12/2021;16.927
185.;MERKAMUEBLE SA  (EXTINGUIDA);A14018634;BOLLULLOS DE LA MITACION;ESPANA;U1;31/12/2012;16.527
186.;MANUFACTURAS METALICAS CANALS SA;A08332256;MARTORELL;ESPANA;U1;31/12/2021;16.317
187.;GRUPORAGA SA.;A28317543;MADRID;ESPANA;U1;31/12/2021;16.210
188.;RBA PUBLIVENTAS SA;A08701641;BARCELONA;ESPANA;U1;31/12/2021;16.164
189.;EDELMIRO RODRIGUEZ SL (EXTINGUIDA);B15018948;A CORUÑA;ESPANA;U1;31/12/2011;16.124
190.;JOSE COMBALIA SA;A08329831;SANT FELIU DE BUIXALLEU;ESPANA;U1;31/12/2021;16.116
191.;CATRI SOCIEDAD LIMITADA;B28335180;MOSTOLES;ESPANA;U1;31/12/2021;16.062
192.;NUEVOS CALZADOS SL;B03039781;ELCHE/ELX;ESPANA;U1;31/12/2001;15.898
193.;REPARACIONES NAVALES CANARIAS SA;A35000173;LAS PALMAS DE GRAN CANARIA;ESPANA;U1;31/12/2019;15.891
194.;REISEN TOURS SA. (EN LIQUIDACION);A28332914;MADRID;ESPANA;U1;31/12/2016;15.859
195.;NACIONAL BUS SA (EXTINGUIDA);A07034739;PALMA;ESPANA;U1;30/09/2002;15.815
196.;ESTAMPACIONES MODERNAS SL;B50026525;ZARAGOZA;ESPANA;U1;31/12/2021;15.677
197.;REMOLCADORES DE CARTAGENA SA;A46064770;VALENCIA;ESPANA;U1;31/12/2021;15.345
198.;S.C. GALLEGA DEL MAR SAN MIGUEL DE MARIN;F36011641;MARIN;ESPANA;U1;31/12/2018;15.319
199.;TOYBE SA;A26011825;LOGROÑO;ESPANA;U1;31/12/2021;15.278
200.;GILVA SA;A44004422;CALANDA;ESPANA;U1;31/12/2021;15.205
201.;HAPAG LLOYD SPAIN SL;B41038977;BARCELONA;ESPANA;U1;31/12/2020;15.180
202.;PAVIMENTOS BECHI SL;B12016382;BETXI;ESPANA;U1;31/12/2021;15.173
203.;CARTONAJES MORA SA;A46063673;PATERNA;ESPANA;U1;31/12/2020;15.121
204.;OTTO BOCK IBERICA SA;A28358513;TRES CANTOS;ESPANA;U1;31/12/2021;15.043
205.;LABORATORIO GENOVE SA;A08341265;L'HOSPITALET DE LLOBREGAT;ESPANA;U1;31/12/2021;14.958
206.;NET Y BIEN S.L. (EXTINGUIDA);B28346823;MADRID;ESPANA;U1;31/12/2004;14.796
207.;CALZADOS FAL SA;A26004978;ARNEDO;ESPANA;U1;31/12/2020;14.735
208.;CONFAIRE, SA  (EXTINGUIDA);A28333490;MADRID;ESPANA;U1;31/12/2011;14.703
209.;AYERBE PLANTAS INDUSTRIALES DE SECADO SL;B22005524;IGRIES;ESPANA;U1;31/12/2020;14.677
210.;ARIÑO DUGLASS, SA;A50027812;LA PUEBLA DE ALFINDEN;ESPANA;U1;31/12/2020;14.548
211.;JOSE OSET Y COMPAÑIA SL;B12018297;RIBESALBES;ESPANA;U1;31/12/2020;14.470
212.;VALMET TECHNOLOGIES SA.;A28318384;ZARAGOZA;ESPANA;U1;31/12/2020;14.436
213.;FEDINSA ENVASES SA;A26011718;LOGROÑO;ESPANA;U1;31/12/2021;14.421
214.;ENIA CARPETS IBERICA SA  (EXTINGUIDA);A31040264;BERRIOZAR;ESPANA;U2;31/12/2007;14.394
215.;FRESCARN SA (EN LIQUIDACION);A45006459;L'ALQUERIA DE LA COMTESSA;ESPANA;U1;31/12/2000;14.360
216.;LA CAMBRIJA SA;A28327195;MADRID;ESPANA;U1;31/12/2021;14.291
217.;TELEFONOS LINEAS Y CENTRALES SA;A28337129;ALCOBENDAS;ESPANA;U1;31/12/2021;14.257
218.;HORMIGONES INSULARES S.A. (EXTINGUIDA);A35019553;SAN BARTOLOME;ESPANA;U1;31/12/2002;14.116
219.;CRUZBER SA;A14018311;RUTE;ESPANA;U1;31/12/2021;14.011
220.;INDUSTRIAS LA TUNA SL;B28337038;MEJORADA DEL CAMPO;ESPANA;U1;31/12/2017;13.890
221.;SUN ROLLER, SA  (EXTINGUIDA);A08324071;FOGARS DE LA SELVA;ESPANA;U2;31/12/2011;13.838
222.;SENDIN PAVIMENTOS Y ABASTECIMIENTOS SA;A10005981;CORIA;ESPANA;U2;31/12/2021;13.662
223.;HERRAMIENTAS METABO SAU;A28310480;BOADILLA DEL MONTE;ESPANA;U1;31/03/2021;13.532
224.;HIERROS CANARIAS SA (EXTINGUIDA);A48066310;TELDE;ESPANA;U1;31/12/2001;13.504
225.;ALMACENES CELSO MIGUEZ SA (EN LIQUIDACION);A36005718;CERDEDO-COTOBADE;ESPANA;U1;31/12/2018;13.471
226.;SOCIEDAD DE CENTROS COMERCIALES DE ESPAÑA SA;A28332757;SAN SEBASTIAN DE LOS REYES;ESPANA;U1;31/12/2021;13.434
227.;PILORCA SL;B30021430;LORCA;ESPANA;U1;31/12/2020;13.087
228.;TIMON SA;A28305894;MADRID;ESPANA;U2;31/12/2021;13.087
229.;FONTDOR SL (EXTINGUIDA);B28312643;ARBUCIES;ESPANA;U1;31/12/2014;13.078
230.;ROBINCO SAU.;A28347045;VELILLA DE SAN ANTONIO;ESPANA;U1;31/12/2020;13.070
231.;TEXTILES SAR SL;B02005999;HELLIN;ESPANA;U1;31/12/2021;12.984
232.;TRANSPORTES LARA SA;A28271112;ALCOBENDAS;ESPANA;U1;31/12/2021;12.957
233.;EMPRESA CASAS SA;A08339673;MATARO;ESPANA;U1;30/11/2021;12.876
234.;RENTAMAR SL;B08359283;BARCELONA;ESPANA;U1;31/12/2020;12.836
235.;MARINO DE LA FUENTE SA;A39009998;SANTANDER;ESPANA;U1;31/12/2021;12.759
236.;IGH FLAVOURS&TECHNOLOGY SA.;A30016638;ALHAMA DE MURCIA;ESPANA;U1;31/12/2021;12.723
237.;USCAL SL (EN LIQUIDACION);B31049273;ORKOIEN;ESPANA;U1;31/12/2017;12.590
238.;CONSERVAS DE AUTOR SA.;A26011320;AUTOL;ESPANA;U1;31/12/2020;12.482
239.;TRANSPORTES LA ESTRELLA SA (EXTINGUIDA);A28324630;MADRID;ESPANA;U1;31/12/2009;12.439
240.;ODEC CENTRO DE CALCULO Y APLICACIONES INFORMATICAS SA;A46063418;GANDIA;ESPANA;U1;31/12/2021;12.207
241.;ARESOL SA (EXTINGUIDA);A28335230;MADRID;ESPANA;U1;31/12/2004;12.076
