;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;FORD ESPAÑA SL;B46066361;ALCOBENDAS;ESPANA;U2;31/12/2021;5.578.585
2.;ERTISA SA (EXTINGUIDA);A28344943;MADRID;ESPANA;U1;31/12/2007;768.276
3.;VIAJES IBEROJET SOCIEDAD ANONIMA (EN LIQUIDACION);A28312809;PALMA;ESPANA;U1;31/07/2011;400.974
4.;UNITED PARCEL SERVICE ESPAÑA LTD Y COMPAÑIA SRC;C28328508;MADRID;ESPANA;U1;31/12/2021;392.059
5.;ALISEDA SA;A28335388;MADRID;ESPANA;U1;31/12/2021;360.485
6.;ISOLUX WAT SA (EXTINGUIDA);A28314300;MADRID;ESPANA;U2;31/12/2000;300.180
7.;PORCELANOSA SA;A12016085;VILA-REAL;ESPANA;U2;31/12/2021;269.493
8.;IBERMATICA, SA;A20038915;DONOSTIA/SAN SEBASTIAN;ESPANA;U2;31/12/2021;262.182
9.;ISDIN SA;A08291924;BARCELONA;ESPANA;U2;31/12/2021;257.368
10.;BIOKIT SA;A08336018;LLIÇA D'AMUNT;ESPANA;U1;31/12/2021;247.573
11.;MAIER SCOOP;F48067607;AJANGIZ;ESPANA;U2;31/12/2019;245.632
12.;PAVO Y DERIVADOS SA;A43020643;AMPOSTA;ESPANA;U2;31/12/2018;227.084
13.;TEODORO GARCIA SA;A08332322;VILADECANS;ESPANA;U2;31/12/2020;219.386
14.;SUMINISTROS SIDERURGICOS MONTAÑESES SA;A39012638;CAMARGO;ESPANA;U1;31/12/2021;209.785
15.;CONSTRUCCIONES ACR SA;A31039746;BERRIOPLANO/BERRIOBEITI;ESPANA;U1;31/12/2021;203.603
16.;ERNESTO VENTOS SA;A08329344;MADRID;ESPANA;U2;31/12/2021;201.408
17.;LUBRICANTES DEL SUR SA (EXTINGUIDA);A28314938;MADRID;ESPANA;U1;31/12/2012;187.002
18.;MG ROVER ESPANA SA (EXTINGUIDA);A28338093;SAN FERNANDO DE HENARES;ESPANA;U1;31/12/2003;184.774
19.;TRETY SA (EXTINGUIDA);A28330462;MAÇANET DE LA SELVA;ESPANA;U2;31/12/2000;181.468
20.;GKN DRIVELINE VIGO SA;A36608982;VIGO;ESPANA;U1;31/12/2020;168.717
21.;AUTOPISTAS DEL ATLANTICO CONCESIONARIA ESPAÑOLA SA;A15020522;A CORUÑA;ESPANA;U1;31/12/2021;152.207
22.;AUTOPISTA VASCO ARAGONESA CONCESIONARIA ESPAÑOLA SOCIEDAD ANONIMA;A28337764;OROZKO;ESPANA;U1;31/12/2021;151.391
23.;ARPADA, SA;A28328441;ALCORCON;ESPANA;U1;31/12/2021;148.398
24.;GRANADA LA PALMA S.C. AND;F18013748;MOTRIL;ESPANA;U1;31/08/2021;148.108
25.;TRYP SA (EXTINGUIDA);A28359040;MADRID;ESPANA;U1;31/12/2000;144.784
26.;SIGLA SAU;A28308484;MADRID;ESPANA;U2;31/12/2020;143.005
27.;DENSO TEN ESPAÑA SA.;A28321131;MALAGA;ESPANA;U2;31/03/2020;137.823
28.;ESTEVE QUIMICA SA;A08335671;BARCELONA;ESPANA;U1;31/12/2021;135.030
29.;CERAMICA NULENSE SA;A12016101;NULES;ESPANA;U1;31/12/2021;133.140
30.;KYB SUSPENSIONS EUROPE SA;A31038524;CENDEA DE OLZA/OLTZA ZENDEA;ESPANA;U2;31/03/2021;132.659
31.;PERNOD RICARD WINEMAKERS SPAIN SA.;A11606118;DONOSTIA/SAN SEBASTIAN;ESPANA;U1;30/06/2021;122.463
32.;LIWE ESPAÑOLA, SA;A30015382;MURCIA;ESPANA;U2;31/12/2021;121.165
33.;MERIT AUTOMOTIVE ELECTRONICS SYSTEMS SLU;B31040280;SANT VICENÇ DELS HORTS;ESPANA;U2;31/12/2021;107.659
34.;CARTONAJES DE LA PLANA SLU;B12016127;BETXI;ESPANA;U1;31/12/2020;104.362
35.;FAGOR INDUSTRIAL S. COOP.;F20040028;OÑATI;ESPANA;U2;31/12/2020;103.576
36.;PERSAN SA (EXTINGUIDA);A41047127;SEVILLA;ESPANA;U1;31/12/2000;103.331
37.;LINDE Y WIEMANN SA;A08317794;LA GARRIGA;ESPANA;U2;31/12/2021;99.705
38.;LA SOCIEDAD GENERAL INMOBILIARIA DE ESPAÑA SA;A28323368;SAN SEBASTIAN DE LOS REYES;ESPANA;U2;31/12/2021;92.525
39.;FIBERPACHS SA;A08325862;PACS DEL PENEDES;ESPANA;U2;31/12/2021;90.268
40.;CONCESIONARIOS DEL SUR, SA;A41032848;ALCALA DE GUADAIRA;ESPANA;U1;31/12/2021;90.031
41.;FRITTA SLU;B12015756;ONDA;ESPANA;U2;31/12/2020;80.337
42.;DR FRANZ SCHNEIDER SAU;A46089702;PICASSENT;ESPANA;U2;31/12/2020;79.760
43.;EIKA SCOOPL;F48067615;ETXEBARRIA;ESPANA;U2;31/12/2020;78.012
44.;DURO FELGUERA PLANTAS INDUSTRIALES SA (EXTINGUIDA);A33608183;GIJON/XIXON;ESPANA;U1;31/12/2012;76.710
45.;CARBONELL FIGUERAS SA;A43017037;TARRAGONA;ESPANA;U2;31/12/2021;76.450
46.;PRODUCTOS LACTEOS TGT SA;A28310761;TRES CANTOS;ESPANA;U1;31/12/2021;76.385
47.;PINA SA;A46068342;A CORUÑA;ESPANA;U1;31/12/2021;75.731
48.;GARNICA PLYWOOD BAÑOS DE RIO TOBIA SA;A26011114;BAÑOS DE RIO TOBIA;ESPANA;U1;31/12/2020;75.014
49.;PESCADOS FABREGAT SA;A12015673;CASTELLO DE LA PLANA;ESPANA;U1;31/12/2017;72.734
50.;SABADELL ASSET MANAGEMENT SA SOCIEDAD GESTORA DE INSTITUCIONES DE INVERSION COLECTIVA.;A08347684;MADRID;ESPANA;U1;31/12/2021;71.734
51.;MONTEFIBRE HISPANIA SA (EN LIQUIDACION);A08325433;MIRANDA DE EBRO;ESPANA;U1;31/12/2018;70.956
