;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;BMW IBERICA SAU.;A28713642;MADRID;ESPANA;U2;31/12/2021;1.691.738
2.;CONDIS SUPERMERCATS SA;A08721177;MONTCADA I REIXAC;ESPANA;U2;31/12/2021;959.461
3.;EUROMADI IBERICA, SA;A08674699;ESPLUGUES DE LLOBREGAT;ESPANA;U2;31/12/2021;913.383
4.;ESTACIONES DE SERVICIO DE GUIPUZCOA SA;A20072070;DONOSTIA/SAN SEBASTIAN;ESPANA;U2;31/12/2021;814.302
5.;BURGER KING SPAIN SLU;B03093093;POZUELO DE ALARCON;ESPANA;U1;31/12/2021;646.846
6.;MAPFRE SEGUROS DE EMPRESAS COMPAÑIA DE SEGUROS Y REASEGUROS SA (EXTINGUIDA);A28725331;MAJADAHONDA;ESPANA;U1;31/12/2014;646.627
7.;A. N. S. COOP;F31097280;ARANGUREN;ESPANA;U2;30/06/2020;632.940
8.;MANPOWER TEAM EMPRESA DE TRABAJO TEMPORAL SA;A08742835;MADRID;ESPANA;U2;31/12/2020;474.671
9.;COMERCIAL DOMECQ SA (EXTINGUIDA);A11611787;MADRID;ESPANA;U1;31/08/2000;399.717
10.;ALSTOM WIND SL (EXTINGUIDA);B08708729;BARCELONA;ESPANA;U1;31/03/2012;341.964
11.;IBERICA DE CONGELADOS SA;A36620540;VIGO;ESPANA;U2;31/12/2020;299.647
12.;MAYORAL MODA INFANTIL SAU;A29076049;MALAGA;ESPANA;U1;31/12/2021;250.805
13.;GKN DRIVELINE ESPANA SA. (EXTINGUIDA);A20075164;ZUMAIA;ESPANA;U1;31/12/2008;227.883
14.;CONSTRUCCIONES AMENABAR SA;A20072302;DONOSTIA/SAN SEBASTIAN;ESPANA;U1;31/12/2021;205.986
15.;COMPAÑIA AVIDESA SA (EXTINGUIDA);A46109484;VITORIA-GASTEIZ;ESPANA;U2;31/12/2003;187.252
16.;SALVADOR ESCODA SA;A08710006;BARCELONA;ESPANA;U1;31/12/2021;173.327
17.;SAMPOL INGENIERIA Y OBRAS SA;A07088206;PALMA;ESPANA;U1;31/12/2021;158.612
18.;RONAL IBERICA SAU;A44008308;TERUEL;ESPANA;U1;31/03/2020;152.712
19.;GRUPO LECHE RIO SA.;A27015965;LUGO;ESPANA;U2;31/12/2021;152.568
20.;APPLUS NORCONTROL SLU;B15044357;SADA;ESPANA;U1;31/12/2021;152.407
21.;BENIMAR-OCARSA SAU;A12234597;PENISCOLA/PEÑISCOLA;ESPANA;U1;31/08/2020;147.341
22.;SERVICIOS PARA MEDIOS DE PAGO SA (EXTINGUIDA);A28704542;MADRID;ESPANA;U1;31/12/2009;144.906
