"","regions","year","empleoservs","empleoturs","realpibturismo","realpibservicios","Pobl_total","poblalq"
"1104","Zamora","1993",34950,4868,NA,28040.8904719501,"211568",9
"1105","Zamora","1995",62826,NA,NA,28606.5333983423,"209046",NA
"1106","Zamora","1997",64438,NA,NA,29879.7445255474,"206283",NA
"1107","Zaragoza","1955",84591,15114,NA,NA,NA,1034
"1108","Zaragoza","1957",88692,16526,NA,NA,NA,1113
"1109","Zaragoza","1959",92859,18165,NA,NA,NA,1201
"1110","Zaragoza","1961",98073,20765,NA,NA,NA,1265
"1111","Zaragoza","1963",102289,21556,NA,NA,NA,1338
"1112","Zaragoza","1965",106236,21706,NA,NA,NA,1462
"1113","Zaragoza","1967",109886,22048,NA,NA,NA,1128
"1114","Zaragoza","1969",113223,22195,77919.0265486726,NA,"741162",965
"1115","Zaragoza","1971",116714,22308,85789.3069306931,NA,"757432",703
"1116","Zaragoza","1973",124476,22492,103949.747048904,NA,"772988",701
"1117","Zaragoza","1975",126995,21736,109720.049813201,NA,"788371",628
"1118","Zaragoza","1977",133250,22543,120050.447227191,NA,"803821",439
"1119","Zaragoza","1979",139743,22960,NA,NA,"817169",332
"1120","Zaragoza","1981",142635,23721,NA,118460.82141209,"827907",256
"1121","Zaragoza","1983",145719,24867,NA,121861.55484558,"834870",195
"1122","Zaragoza","1985",150185,25801,NA,124857.358053302,"838371",164
"1123","Zaragoza","1987",159975,28158,NA,141405.851462866,"839581",152
"1124","Zaragoza","1989",165330,28231,NA,160464.836895388,"839807",148
"1125","Zaragoza","1991",171920,28909,NA,170546.384828131,"837747",143
"1126","Zaragoza","1993",172244,28175,NA,165572.644701692,"842353",129
"1127","Zaragoza","1995",304810,NA,NA,176352.315943442,"846910",NA
"1128","Zaragoza","1997",324356,NA,NA,184944.160583942,"851017",NA
"1129",NA,"1969",NA,NA,NA,NA,"33440730",NA
