;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;IFA RETAIL SA.;A28190551;ALCOBENDAS;ESPANA;U1;31/12/2021;952.830
2.;ABERTIS INFRAESTRUCTURAS, SA;A08209769;MADRID;ESPANA;U2;31/12/2021;716.838
3.;GALP DISTRIBUCION OIL ESPAÑA SA (EXTINGUIDA);A28188464;ALCOBENDAS;ESPANA;U2;31/12/2010;678.060
4.;UNIALCO SL;B20030052;IRUN;ESPANA;U1;31/12/2021;561.049
5.;VALL COMPANYS SAU;A25007550;BARCELONA;ESPANA;U2;31/12/2021;543.072
6.;YELL PUBLICIDAD SA (EXTINGUIDA);A28185221;MADRID;ESPANA;U2;31/03/2008;459.747
7.;PETROQUIMICA ESPANOLA SA (EXTINGUIDA);A28180420;MADRID;ESPANA;U1;31/12/2007;419.209
8.;RHENUS LOGISTICS, SA;A08211989;EL PRAT DE LLOBREGAT;ESPANA;U1;31/12/2021;390.066
9.;EUROFIEL CONFECCION SA;A26007351;MADRID;ESPANA;U1;28/02/2021;354.496
10.;NOVALTIA S.C.;F50016401;ZARAGOZA;ESPANA;U1;31/12/2017;316.540
11.;UBE CHEMICAL EUROPE SA (EXTINGUIDA);A28185072;CASTELLON;ESPANA;U1;31/03/2015;280.411
12.;GRUP BAUCELLS ALIMENTACIO SL;B08224602;VIC;ESPANA;U2;31/12/2021;213.717
13.;FRIGICOLL SA;A08214538;SANT JUST DESVERN;ESPANA;U2;31/12/2021;196.059
14.;TORRECID SOCIEDAD ANONIMA;A12011946;L'ALCORA;ESPANA;U2;31/12/2021;191.995
15.;TECNOCOM TELECOMUNICACIONES Y ENERGIA SA (EXTINGUIDA);A28191179;MADRID;ESPANA;U2;31/12/2017;188.748
16.;ORMAZABAL Y COMPAÑIA SLU;B48049811;IGORRE;ESPANA;U1;31/12/2021;156.915
17.;TRANSPORTES DIRECTOS NACIONALES E INTERNACIONALES SA (EXTINGUIDA);A08224107;BARBERA DEL VALLES;ESPANA;U2;31/12/2019;153.120
18.;COPISO SORIA S.C.;F42000844;SORIA;ESPANA;U1;31/12/2020;152.984
19.;CABLES RCT SA;A50017243;ZARAGOZA;ESPANA;U1;31/12/2021;121.943
20.;GAVIOTA SIMBAC SL;B03022449;SAX;ESPANA;U2;31/12/2021;111.970
21.;HELM IBERICA SA;A28181527;ALCOBENDAS;ESPANA;U1;31/12/2020;109.457
22.;DERIVADOS DEL FLUOR SOCIEDAD ANONIMA;A48048771;GETXO;ESPANA;U1;31/12/2021;99.944
23.;TK ELEVATOR MANUFACTURING SPAIN SL.;B20030516;MOSTOLES;ESPANA;U1;30/09/2021;97.714
24.;LEGRAND ESPANOLA SA (EXTINGUIDA);A28188548;TORREJON DE ARDOZ;ESPANA;U1;31/12/2004;96.887
25.;OLYMPUS IBERIA SA.;A08214157;L'HOSPITALET DE LLOBREGAT;ESPANA;U1;31/03/2021;96.383
26.;UNIPREX SOCIEDAD ANONIMA (EXTINGUIDA);A08216459;SAN SEBASTIAN DE LOS REYES;ESPANA;U1;31/12/2010;90.340
27.;LEAR CORPORATION ARA SL;B09004664;BURGOS;ESPANA;U1;31/12/2021;86.174
28.;DESTINATION SERVICES SPAIN SL. (EXTINGUIDA);B07026990;BARCELONA;ESPANA;U1;30/09/2018;85.947
29.;ELIS MANOMATIC SAU;A08205056;SANT CUGAT DEL VALLES;ESPANA;U1;31/12/2020;72.052
30.;CENTRAL FORESTAL SOCIEDAD ANONIMA;A48049597;IURRETA;ESPANA;U1;31/12/2020;71.969
31.;COOP FARMACEUTICA DE ZAMORA Y VALLADOLID (EXTINGUIDA);F49003163;ZAMORA;ESPANA;U1;31/12/2017;71.582
32.;AGUAS DE LANJARON SA (EXTINGUIDA);A18006767;LANJARON;ESPANA;U1;31/12/2005;64.278
33.;BOMBAS ELECTRICAS SA (EXTINGUIDA);A08214231;BANYOLES;ESPANA;U1;31/12/2008;63.854
34.;SAME DEUTZ-FAHR IBERICA SA;A28174555;TRES CANTOS;ESPANA;U1;31/12/2021;63.618
35.;TALLERES AUTOLICA SA;A08203887;BARCELONA;ESPANA;U1;31/12/2021;61.335
36.;LABORATORIOS LESVI SL;B08165789;SANT JOAN DESPI;ESPANA;U1;31/12/2020;59.860
37.;OLEICOLA EL TEJAR NTRA SRA DE ARACELI S.C. ANDALUZA;F14016729;BENAMEJI;ESPANA;U1;31/12/2020;59.462
38.;PEDRO MARTINEZ CANO SOCIEDAD LIMITADA (EXTINGUIDA);B46038634;ALZIRA;ESPANA;U1;31/12/2006;58.660
39.;GRAPHIC PACKAGING INTERNATIONAL SPAIN SA;A08211039;ODENA;ESPANA;U1;31/12/2020;56.575
40.;CAIXA DE CREDIT DELS ENGINYERS CAJA DE CREDITO DE LOS INGENIEROS SOCIEDAD COOPERATIVA DE CREDITO;F08216863;BARCELONA;ESPANA;U2;31/12/2016;55.562
41.;LABORATORIOS RUBIO SA;A08222465;CASTELLBISBAL;ESPANA;U2;31/12/2020;54.389
42.;S.C. AND NUESTRA SEÑORA DE LA BELLA COBELLA;F21004858;LEPE;ESPANA;U1;31/08/2020;53.333
43.;PRAXAIR IBERICA SA (EXTINGUIDA);A31016306;MADRID;ESPANA;U1;31/12/2010;52.006
44.;MONDELEZ ESPAÑA GALLETAS PRODUCTION SLU;B31018104;MADRID;ESPANA;U1;31/12/2021;51.238
45.;SEALCO SOCIEDAD ANONIMA;A28174985;ALCORCON;ESPANA;U1;31/12/2020;50.901
46.;TRAP SA;A28186062;MADRID;ESPANA;U1;31/12/2010;50.660
47.;FERMAX ELECTRONICA SAU;A46036554;VALENCIA;ESPANA;U2;31/12/2021;47.566
48.;JUAN NICOLAS GOMEZ E HIJOS CONSTRUCCIONES SA (EN LIQUIDACION);A45002219;TOLEDO;ESPANA;U2;31/12/2006;47.376
49.;COOPERATIVA DE SERVICIOS COARCO SOCIEDAD COOPERATIVA LIMITADA (COARCO);F38004164;SANTA CRUZ DE TENERIFE;ESPANA;U1;31/12/2019;45.999
50.;RISI SA;A28194090;DAGANZO DE ARRIBA;ESPANA;U1;31/12/2021;45.709
51.;GRUPODESA FASTENERS SAU.;A31017494;VALLE DE EGÜES/EGUESIBAR;ESPANA;U1;31/12/2021;44.466
52.;FLOWSERVE SIHI (SPAIN) SL.;B28181972;MADRID;ESPANA;U2;31/12/2021;43.314
53.;PRODUCTOS ALIMENTICIOS ALBACETE, SA;A02003465;ALBACETE;ESPANA;U1;31/12/2021;43.035
54.;BODEGAS AGE SOCIEDAD ANONIMA (EXTINGUIDA);A26006510;DONOSTIA-SAN SEBASTIAN;ESPANA;U2;31/08/2003;42.773
55.;COSMETICA COSBAR SL;B08207615;EL PRAT DE LLOBREGAT;ESPANA;U1;31/12/2021;42.098
56.;HULLERAS DEL NORTE SA SME.;A28185684;OVIEDO;ESPANA;U2;31/12/2021;41.991
57.;QUINTO SA;A41018136;SEVILLA;ESPANA;U1;31/12/2020;41.746
58.;BYG SA;A08220014;MOLINS DE REI;ESPANA;U2;31/12/2020;41.639
59.;FR MEYER'S SOHN GMBH & CO KG FILIAL EN ESPANA.;W0041017E;MADRID;ESPANA;U1;31/12/2007;41.601
60.;DERYPOL SA;A08226300;BARCELONA;ESPANA;U1;30/11/2021;39.846
61.;I F C CIMENTACIONES ESPECIALES S.A. (EXTINGUIDA);A28181253;BARCELONA;ESPANA;U1;31/12/2007;39.740
62.;URBANIZADORA E INMOBILIARIA CARTAGENERA, SA;A30603716;CARTAGENA;ESPANA;U1;31/12/2021;39.486
63.;ALIMENTOS NATURALES, SA (EN LIQUIDACION);A08206948;ONZONILLA;ESPANA;U1;31/12/2011;38.390
64.;CAVOSA OBRAS Y PROYECTOS SA;A28178481;MADRID;ESPANA;U1;31/12/2021;38.174
65.;DISTRIBUIDORA EDITORIAL COSTA DEL SOL SA (EXTINGUIDA);A29010485;MALAGA;ESPANA;U1;31/12/2005;38.050
66.;CEMENTOS ESPECIALES DE LAS ISLAS SOCIEDAD ANONIMA;A33013202;LAS PALMAS DE GRAN CANARIA;ESPANA;U2;31/12/2020;37.914
67.;GUALA CLOSURES IBERICA SA;A28187672;JEREZ DE LA FRONTERA;ESPANA;U1;31/12/2021;37.524
68.;PARQUE DE ATRACCIONES MADRID SA;A28197002;MADRID;ESPANA;U2;31/12/2021;37.025
69.;ARTSANA SPAIN SA;A28189801;ALCORCON;ESPANA;U1;31/12/2020;36.514
70.;JUNQUERA BOBES, SA (EN LIQUIDACION);A33009861;NOREÑA;ESPANA;U1;31/12/2013;36.337
71.;MUTUA TINERFEÑA MUTUA DE SEG Y REASG AP FIJA;G38004297;SANTA CRUZ DE TENERIFE;ESPANA;U1;31/12/2020;35.434
72.;VIMAC SA (EN LIQUIDACION);A41017856;LA RINCONADA;ESPANA;U1;31/12/2014;35.185
73.;HIFEDA SOCIEDAD LIMITADA  (EXTINGUIDA);B46038998;CARLET;ESPANA;U1;31/12/2008;34.503
74.;COMERCIAL INDUSTRIAL DE AUTOMOVILES Y RECAMBIOS SA (EXTINGUIDA);A01005594;VITORIA-GASTEIZ;ESPANA;U1;31/12/2018;33.697
75.;MAGOTTEAUX NAVARRA SA;A31017205;URDIAIN;ESPANA;U1;31/12/2021;32.295
76.;BIC GRAPHIC EUROPE SA;A08213712;TARRAGONA;ESPANA;U1;31/12/2020;32.224
77.;MERCADOS DE ABASTECIMIENTOS DE BARCELONA SA;A08210403;BARCELONA;ESPANA;U1;31/12/2021;30.432
78.;TAULELL SOCIEDAD LIMITADA;B12011755;ONDA;ESPANA;U2;31/12/2015;30.024
79.;MASATS SA;A08207904;SANT SALVADOR DE GUARDIOLA;ESPANA;U1;31/12/2021;29.562
80.;BRASSICA GROUP SA (EN LIQUIDACION);A11545795;JEREZ DE LA FRONTERA;ESPANA;U1;31/12/2011;29.281
81.;SIEMENS BUILDING TECHNOLOGIES SA (EXTINGUIDA);A28185239;ALCOBENDAS;ESPANA;U1;30/09/2002;28.892
82.;K L ALUMINIO S L (EXTINGUIDA);B26007344;VALLADOLID;ESPANA;U1;31/12/2006;28.841
83.;COMPANIA DE ACTIVIDADES TURISTICAS Y SANITARIAS S.L. (EXTINGUIDA);B38003794;SANTA CRUZ DE TENERIFE;ESPANA;U1;31/12/2005;28.407
84.;PECRES SL;B30011670;MURCIA;ESPANA;U1;31/12/2021;27.954
85.;SA RACC UNIPERSONAL (EXTINGUIDA);A08512931;BARCELONA;ESPANA;U1;31/12/2010;27.843
86.;VIAJES DE LA LUZ SA (EXTINGUIDA);A11006806;PALMA;ESPANA;U1;31/12/2014;26.731
87.;DOMENECH HERMANOS SAU;A03001948;MURO DE ALCOY;ESPANA;U1;31/12/2019;26.335
88.;NISA, NUEVAS INVERSIONES EN SERVICIOS, SA;A46036984;VALENCIA;ESPANA;U2;31/12/2021;26.289
89.;GALLETAS FONTANEDA S.A. (EXTINGUIDA);A34002659;AGUILAR DE CAMPOO;ESPANA;U1;31/12/2001;26.163
90.;THENAISIE PROVOTE, SA (EXTINGUIDA);A36605798;ARBO;ESPANA;U2;31/12/2014;25.901
91.;BOLSA DE AGUAS DE TENERIFE SA;A38003844;SAN CRISTOBAL DE LA LAGUNA;ESPANA;U1;31/12/2021;25.757
92.;VERKOL SA;A20028510;BERA;ESPANA;U1;31/12/2020;25.710
93.;DISTRIBUIDORA LEVANTINA DE ALIMENTACION SL;B46037446;CASTELLO DE LA PLANA;ESPANA;U2;31/12/2021;25.637
94.;HIERROS Y DESGUACES SA (EXTINGUIDA);A43010099;LA SELVA DEL CAMP;ESPANA;U1;31/12/2010;25.322
95.;S.C. COMARCAL GANADERA VIRGEN DEL ROSARIO DE SAN MATEO DE GALLEGO;F50019751;SAN MATEO DE GALLEGO;ESPANA;U2;31/12/2020;25.081
96.;RECUPERADORA DE CHATARRAS SA;A50007327;ZARAGOZA;ESPANA;U1;31/12/2021;23.841
97.;VENTA DE ESPECIALIDADES QUIMICAS SA;A08220493;TERRASSA;ESPANA;U1;31/12/2021;22.712
98.;CONSTRUCCIONES FHIMASA SA;A48047377;BILBAO;ESPANA;U1;31/12/2021;22.525
99.;HORMIGONES Y FABRICADOS SA (EXTINGUIDA);A50015908;ZARAGOZA;ESPANA;U1;31/12/2000;21.647
100.;ARAGONESA DE CHATARRAS Y METALES SA (EXTINGUIDA);A50016666;LA MUELA;ESPANA;U1;31/12/2019;21.439
101.;TRANSPORTES URBANOS DE VITORIA GASTEIZ S.A. VITORIA GASTEIZKO HIRI GARRAIOAK AB.;A01005230;VITORIA-GASTEIZ;ESPANA;U1;31/12/2020;21.110
102.;UNDEFASA SA;A12012498;L'ALCORA;ESPANA;U1;31/12/2021;20.775
103.;PREMSA CATALANA SA EMPRESA PERIODISTICA;A08222226;BARCELONA;ESPANA;U1;31/12/2002;19.865
104.;TRANSERVI SA;A28181543;MADRID;ESPANA;U1;31/12/2021;19.764
105.;INDUSTRIALES PANADEROS AGRUPADOS, SOCIEDAD ANONIMA;A15013618;A CORUÑA;ESPANA;U1;31/12/2021;19.076
106.;SOCIEDAD ESPAÑOLA DE COLORANTES NATURALES Y AFINES SA;A46038386;CHIVA;ESPANA;U1;31/08/2021;18.947
107.;INTERFLEX SL;B08213621;MONTCADA I REIXAC;ESPANA;U1;31/12/2020;18.572
108.;YSL BEAUTE SA (EXTINGUIDA);A08215295;BARCELONA;ESPANA;U1;28/12/2006;18.457
109.;ACIEROID SA;A28182392;L'HOSPITALET DE LLOBREGAT;ESPANA;U2;31/12/2021;18.403
110.;DECCO IBERICA POST COSECHA SAU;A28190809;PATERNA;ESPANA;U1;31/03/2021;18.073
111.;CORALI S.A. (EXTINGUIDA);A35008416;LAS PALMAS DE GRAN CANARIA;ESPANA;U1;28/02/2005;18.066
