;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;EROSKI S.C.;F20033361;ELORRIO;ESPANA;U2;31/01/2021;2.226.376
2.;MAPFRE VIDA SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS SOBRE LA VIDA HUMANA;A28229599;MAJADAHONDA;ESPANA;U1;31/12/2021;1.741.727
3.;VIAJES EL CORTE INGLES SA;A28229813;MADRID;ESPANA;U1;28/02/2022;909.321
4.;PLUS ULTRA SEGUROS GENERALES Y VIDA SA DE SEGUROS Y REASEGUROS SOCIEDAD UNIPERSONAL;A30014831;MADRID;ESPANA;U1;31/12/2021;907.747
5.;CALIDAD PASCUAL SAU;A09006172;ARANDA DE DUERO;ESPANA;U2;31/12/2021;628.790
6.;GLAXOSMITHKLINE SA;A28228526;TRES CANTOS;ESPANA;U1;31/12/2021;537.387
7.;TETRA PAK HISPANIA SA;A28228864;ARGANDA DEL REY;ESPANA;U2;31/12/2021;444.638
8.;NOEL ALIMENTARIA SAU;A17014713;SANT JOAN LES FONTS;ESPANA;U2;31/12/2021;400.338
9.;HARINERA VILAFRANQUINA SA;A08241465;VILAFRANCA DEL PENEDES;ESPANA;U1;31/12/2021;358.372
10.;PATEL SA;A08242166;L'ESQUIROL;ESPANA;U1;31/12/2021;338.912
11.;SAINT GOBAIN PLACO IBERICA SA;A50021518;MADRID;ESPANA;U1;31/12/2021;316.657
12.;JOHNSON & JOHNSON SA;A28218675;MADRID;ESPANA;U2;31/12/2021;315.562
13.;MADRILEÑA DE NEGOCIOS SA (EXTINGUIDA);A28244325;MADRID;ESPANA;U1;31/12/2007;294.216
14.;TIEMPO LIBRE SA  (EXTINGUIDA);A28215002;MADRID;ESPANA;U1;28/02/2009;239.440
15.;F. FAIGES SL;B19001551;TORTOSA;ESPANA;U1;31/12/2021;203.254
16.;ORBEA S.COOP.;F20032348;MALLABIA;ESPANA;U1;31/12/2020;200.108
